Ticker,Date,Weight,,
SNDK,7/10/2026,0.93%,,
RKLB,7/10/2026,0.89%,,
WDC,7/10/2026,1.09%,,
LITE,7/10/2026,1.10%,,
BE,7/10/2026,0.80%,,
MU,7/10/2026,1.13%,,
STX,7/10/2026,1.21%,,
VSAT,7/10/2026,1.11%,,
CIEN,7/10/2026,1.35%,,
TTMI,7/10/2026,1.06%,,
STRL,7/10/2026,1.13%,,
INTC,7/10/2026,1.13%,,
RVMD,7/10/2026,2.67%,,
FIX,7/10/2026,1.66%,,
COHR,7/10/2026,1.01%,,
LRCX,7/10/2026,1.31%,,
AGX,7/10/2026,1.25%,,
TER,7/10/2026,1.07%,,
GLW,7/10/2026,1.10%,,
AMAT,7/10/2026,1.40%,,
FLEX,7/10/2026,1.36%,,
AMKR,7/10/2026,1.08%,,
MRVL,7/10/2026,0.96%,,
VRT,7/10/2026,1.52%,,
DELL,7/10/2026,1.56%,,
ATI,7/10/2026,2.60%,,
TPR,7/10/2026,2.67%,,
KLAC,7/10/2026,1.28%,,
GEV,7/10/2026,1.92%,,
ONTO,7/10/2026,1.24%,,
MTZ,7/10/2026,1.83%,,
CRS,7/10/2026,2.60%,,
CAT,7/10/2026,2.41%,,
NVT,7/10/2026,2.00%,,
NXT,7/10/2026,1.20%,,
HWM,7/10/2026,3.07%,,
ALAB,7/10/2026,1.01%,,
MRNA,7/10/2026,1.42%,,
AMD,7/10/2026,1.59%,,
FTI,7/10/2026,3.37%,,
VLO,7/10/2026,2.92%,,
ILMN,7/10/2026,2.82%,,
VIK,7/10/2026,2.93%,,
PWR,7/10/2026,2.32%,,
MOG.A,7/10/2026,2.95%,,
ENS,7/10/2026,2.10%,,
HUM,7/10/2026,3.21%,,
BWA,7/10/2026,2.58%,,
OSCR,7/10/2026,1.98%,,
CW,7/10/2026,2.81%,,
KEYS,7/10/2026,2.31%,,
CMI,7/10/2026,2.70%,,
MPWR,7/10/2026,1.43%,,
JAZZ,7/10/2026,3.59%,,
RPRX,7/10/2026,2.26%,,
SNDK,7/16/2026,0.82%,,
RKLB,7/16/2026,0.86%,,
WDC,7/16/2026,1.00%,,
BE,7/16/2026,0.78%,,
LITE,7/16/2026,1.03%,,
MU,7/16/2026,1.09%,,
STX,7/16/2026,1.11%,,
VSAT,7/16/2026,1.11%,,
TTMI,7/16/2026,1.05%,,
CIEN,7/16/2026,1.24%,,
STRL,7/16/2026,1.13%,,
RVMD,7/16/2026,2.82%,,
INTC,7/16/2026,1.12%,,
FIX,7/16/2026,1.66%,,
LRCX,7/16/2026,1.29%,,
AGX,7/16/2026,1.27%,,
TER,7/16/2026,1.06%,,
COHR,7/16/2026,0.95%,,
AMAT,7/16/2026,1.38%,,
GLW,7/16/2026,1.02%,,
AMKR,7/16/2026,1.08%,,
FLEX,7/16/2026,1.31%,,
ATI,7/16/2026,2.64%,,
VRT,7/16/2026,1.49%,,
TPR,7/16/2026,2.78%,,
