Ticker,Date,,,,,
SNDK,4/29/2026,,,,,
RKLB,4/29/2026,,,,,
LITE,4/29/2026,,,,,
BE,4/29/2026,,,,,
WDC,4/29/2026,,,,,
CIEN,4/29/2026,,,,,
STX,4/29/2026,,,,,
MU,4/29/2026,,,,,
TER,4/29/2026,,,,,
TSEM,4/29/2026,,,,,
SATS,4/29/2026,,,,,
COHR,4/29/2026,,,,,
FIX,4/29/2026,,,,,
GLW,4/29/2026,,,,,
INTC,4/29/2026,,,,,
VRT,4/29/2026,,,,,
LRCX,4/29/2026,,,,,
MKSI,4/29/2026,,,,,
RVMD,4/29/2026,,,,,
FN,4/29/2026,,,,,
TPR,4/29/2026,,,,,
GEV,4/29/2026,,,,,
NXT,4/29/2026,,,,,
ASTS,4/29/2026,,,,,
MTZ,4/29/2026,,,,,
ALB,4/29/2026,,,,,
NEM,4/29/2026,,,,,
HWM,4/29/2026,,,,,
ATI,4/29/2026,,,,,
AMAT,4/29/2026,,,,,
SNDK,5/4/2026,,,,,
RKLB,5/4/2026,,,,,
LITE,5/4/2026,,,,,
BE,5/4/2026,,,,,
WDC,5/4/2026,,,,,
STX,5/4/2026,,,,,
CIEN,5/4/2026,,,,,
MU,5/4/2026,,,,,
TSEM,5/4/2026,,,,,
SATS,5/4/2026,,,,,
FIX,5/4/2026,,,,,
COHR,5/4/2026,,,,,
INTC,5/4/2026,,,,,
TER,5/4/2026,,,,,
RVMD,5/4/2026,,,,,
VRT,5/4/2026,,,,,
MKSI,5/4/2026,,,,,
GLW,5/4/2026,,,,,
LRCX,5/4/2026,,,,,
FN,5/4/2026,,,,,
MTZ,5/4/2026,,,,,
TPR,5/4/2026,,,,,
GEV,5/4/2026,,,,,
NXT,5/4/2026,,,,,
ALB,5/4/2026,,,,,
NVT,5/4/2026,,,,,
HWM,5/4/2026,,,,,
ATI,5/4/2026,,,,,
MTSI,5/4/2026,,,,,
PWR,5/4/2026,,,,,
SNDK,5/6/2026,,,,,
RKLB,5/6/2026,,,,,
LITE,5/6/2026,,,,,
BE,5/6/2026,,,,,
WDC,5/6/2026,,,,,
STX,5/6/2026,,,,,
