Ticker,Date
SNDK,6/9/2026
MU,6/9/2026
WDC,6/9/2026
AMAT,6/9/2026
STX,6/9/2026
COHR,6/9/2026
LITE,6/9/2026
LRCX,6/9/2026
KLAC,6/9/2026
MKSI,6/9/2026
LSCC,6/9/2026
ON,6/9/2026
CRS,6/9/2026
TTMI,6/9/2026
FIX,6/9/2026
TER,6/9/2026
DELL,6/9/2026
ATI,6/9/2026
GLW,6/9/2026
NBIS,6/9/2026
CIEN,6/9/2026
MTZ,6/9/2026
MRVL,6/9/2026
VG,6/9/2026
FDX,6/9/2026
VLO,6/9/2026
SLB,6/9/2026
FFIV,6/9/2026
JBHT,6/9/2026
GEV,6/9/2026
SNDK,6/10/2026
MU,6/10/2026
AMAT,6/10/2026
LRCX,6/10/2026
ATI,6/10/2026
KLAC,6/10/2026
CIEN,6/10/2026
WDC,6/10/2026
LSCC,6/10/2026
VG,6/10/2026
TTMI,6/10/2026
DELL,6/10/2026
LITE,6/10/2026
NBIS,6/10/2026
CRS,6/10/2026
MKSI,6/10/2026
MRVL,6/10/2026
BE,6/10/2026
ODFL,6/10/2026
DOW,6/10/2026
ON,6/10/2026
NUE,6/10/2026
LYB,6/10/2026
FDX,6/10/2026
FIX,6/10/2026
JBHT,6/10/2026
SLB,6/10/2026
SNX,6/10/2026
FFIV,6/10/2026
MTZ,6/10/2026
