Ticker,Date
SNDK,6/9/2026
LITE,6/9/2026
WDC,6/9/2026
CIEN,6/9/2026
FIX,6/9/2026
MTZ,6/9/2026
GLW,6/9/2026
COHR,6/9/2026
MU,6/9/2026
STX,6/9/2026
MKSI,6/9/2026
AMAT,6/9/2026
GEV,6/9/2026
ENTG,6/9/2026
TER,6/9/2026
DOW,6/9/2026
LRCX,6/9/2026
LYB,6/9/2026
FTI,6/9/2026
INTC,6/9/2026
KEYS,6/9/2026
AKAM,6/9/2026
KLAC,6/9/2026
LSCC,6/9/2026
CASY,6/9/2026
STRL,6/9/2026
JBL,6/9/2026
ON,6/9/2026
MRNA,6/9/2026
TTMI,6/9/2026
SNDK,6/10/2026
CIEN,6/10/2026
LITE,6/10/2026
WDC,6/10/2026
MU,6/10/2026
BE,6/10/2026
DOW,6/10/2026
LYB,6/10/2026
FIX,6/10/2026
MTZ,6/10/2026
AMAT,6/10/2026
LRCX,6/10/2026
ENTG,6/10/2026
INTC,6/10/2026
MKSI,6/10/2026
GEV,6/10/2026
VRT,6/10/2026
COHR,6/10/2026
FTI,6/10/2026
GLW,6/10/2026
LSCC,6/10/2026
KEYS,6/10/2026
VG,6/10/2026
ATI,6/10/2026
KLAC,6/10/2026
MRNA,6/10/2026
TER,6/10/2026
STX,6/10/2026
CASY,6/10/2026
ADI,6/10/2026
