Ticker,Date,Weight
SNDK,7/6/2026,0.86%
RKLB,7/6/2026,0.85%
BE,7/6/2026,0.87%
WDC,7/6/2026,1.01%
MU,7/6/2026,1.09%
LITE,7/6/2026,0.92%
STX,7/6/2026,1.14%
VSAT,7/6/2026,1.17%
TTMI,7/6/2026,0.97%
CIEN,7/6/2026,1.18%
INTC,7/6/2026,1.10%
STRL,7/6/2026,1.08%
RVMD,7/6/2026,2.75%
AGX,7/6/2026,1.34%
COHR,7/6/2026,0.92%
FIX,7/6/2026,1.55%
LRCX,7/6/2026,1.25%
TER,7/6/2026,1.00%
GLW,7/6/2026,1.02%
FLEX,7/6/2026,1.29%
MRVL,7/6/2026,0.93%
AMAT,7/6/2026,1.32%
AMKR,7/6/2026,0.98%
TPR,7/6/2026,2.79%
VRT,7/6/2026,1.41%
ATI,7/6/2026,2.42%
DELL,7/6/2026,1.47%
GEV,7/6/2026,1.90%
KLAC,7/6/2026,1.19%
CRS,7/6/2026,2.56%
MRNA,7/6/2026,1.72%
NXT,7/6/2026,1.14%
CAT,7/6/2026,2.32%
MTZ,7/6/2026,1.77%
ALAB,7/6/2026,1.00%
HWM,7/6/2026,2.96%
NVT,7/6/2026,1.83%
ONTO,7/6/2026,1.12%
ILMN,7/6/2026,2.81%
AMD,7/6/2026,1.46%
PWR,7/6/2026,2.21%
VIK,7/6/2026,2.88%
MOG.A,7/6/2026,2.93%
FTI,7/6/2026,3.07%
CW,7/6/2026,2.77%
VLO,7/6/2026,2.84%
BWA,7/6/2026,2.37%
JAZZ,7/6/2026,3.64%
RPRX,7/6/2026,4.28%
OSCR,7/6/2026,1.90%
VBIL,7/6/2026,12.65%
