Ticker,Date
CAT,6/17/2026
ENS,6/17/2026
VLO,6/17/2026
CMI,6/17/2026
BWA,6/17/2026
JAZZ,6/17/2026
JBHT,6/17/2026
VTRS,6/17/2026
NTRS,6/17/2026
MS,6/17/2026
FDX,6/17/2026
VIRT,6/17/2026
COKE,6/17/2026
CSX,6/17/2026
WMB,6/17/2026
SNDR,6/17/2026
GM,6/17/2026
ADM,6/17/2026
LSTR,6/17/2026
THG,6/17/2026
ROST,6/17/2026
MRK,6/17/2026
TRGP,6/17/2026
R,6/17/2026
AM,6/17/2026
TRV,6/17/2026
LEA,6/17/2026
EXPD,6/17/2026
UMBF,6/17/2026
MPC,6/17/2026
BPOP,6/17/2026
AAPL,6/17/2026
TGT,6/17/2026
AIZ,6/17/2026
MUSA,6/17/2026
NSC,6/17/2026
ACT,6/17/2026
ALLY,6/17/2026
UHAL,6/17/2026
CF,6/17/2026
CBT,6/17/2026
ZION,6/17/2026
GWW,6/17/2026
UNM,6/17/2026
VMI,6/17/2026
TROW,6/17/2026
EWBC,6/17/2026
GL,6/17/2026
NEU,6/17/2026
LNG,6/17/2026
CAT,7/6/2026
ENS,7/6/2026
FTI,7/6/2026
VLO,7/6/2026
CMI,7/6/2026
BWA,7/6/2026
JAZZ,7/6/2026
JBHT,7/6/2026
VTRS,7/6/2026
NTRS,7/6/2026
MS,7/6/2026
FDX,7/6/2026
VIRT,7/6/2026
CSX,7/6/2026
COKE,7/6/2026
WMB,7/6/2026
GM,7/6/2026
THG,7/6/2026
SNDR,7/6/2026
ADM,7/6/2026
MRK,7/6/2026
LSTR,7/6/2026
ROST,7/6/2026
TRV,7/6/2026
AROC,7/6/2026
TRGP,7/6/2026
AM,7/6/2026
LEA,7/6/2026
AAPL,7/6/2026
R,7/6/2026
EXPD,7/6/2026
MPC,7/6/2026
UMBF,7/6/2026
BPOP,7/6/2026
MUSA,7/6/2026
AIZ,7/6/2026
NSC,7/6/2026
TGT,7/6/2026
ACT,7/6/2026
UHAL,7/6/2026
CF,7/6/2026
ALLY,7/6/2026
CBT,7/6/2026
GWW,7/6/2026
ZION,7/6/2026
TROW,7/6/2026
VMI,7/6/2026
UNM,7/6/2026
MET,7/6/2026
EWBC,7/6/2026
