Ticker,Date
SNDK,4/29/2026
RKLB,4/29/2026
BE,4/29/2026
LITE,4/29/2026
WDC,4/29/2026
STX,4/29/2026
CIEN,4/29/2026
MU,4/29/2026
FIX,4/29/2026
TER,4/29/2026
VRT,4/29/2026
AU,4/29/2026
LRCX,4/29/2026
FN,4/29/2026
SQM,4/29/2026
MRVL,4/29/2026
ARM,4/29/2026
AMD,4/29/2026
RGLD,4/29/2026
ALAB,4/29/2026
CRDO,4/29/2026
FITB,4/29/2026
NBIS,4/29/2026
CRWV,4/29/2026
AFRM,4/29/2026
CVNA,4/29/2026
RIVN,4/29/2026
ANET,4/29/2026
AVGO,4/29/2026
NVDA,4/29/2026
SNDK,5/4/2026
RKLB,5/4/2026
LITE,5/4/2026
BE,5/4/2026
WDC,5/4/2026
STX,5/4/2026
CIEN,5/4/2026
MU,5/4/2026
FIX,5/4/2026
TER,5/4/2026
VRT,5/4/2026
LRCX,5/4/2026
AU,5/4/2026
FN,5/4/2026
MRVL,5/4/2026
SQM,5/4/2026
ARM,5/4/2026
NBIS,5/4/2026
AMD,5/4/2026
ALAB,5/4/2026
CRDO,5/4/2026
CRWV,5/4/2026
RGLD,5/4/2026
FITB,5/4/2026
AFRM,5/4/2026
ANET,5/4/2026
AVGO,5/4/2026
RDDT,5/4/2026
SNPS,5/4/2026
CVNA,5/4/2026
SNDK,5/6/2026
RKLB,5/6/2026
LITE,5/6/2026
BE,5/6/2026
WDC,5/6/2026
STX,5/6/2026
CIEN,5/6/2026
MU,5/6/2026
FIX,5/6/2026
TER,5/6/2026
VRT,5/6/2026
LRCX,5/6/2026
AU,5/6/2026
FN,5/6/2026
MRVL,5/6/2026
SQM,5/6/2026
AMD,5/6/2026
ARM,5/6/2026
NBIS,5/6/2026
ALAB,5/6/2026
CRDO,5/6/2026
CRWV,5/6/2026
RGLD,5/6/2026
FITB,5/6/2026
AFRM,5/6/2026
AVGO,5/6/2026
CVNA,5/6/2026
NET,5/6/2026
RDDT,5/6/2026
SNPS,5/6/2026
SNDK,5/11/2026
RKLB,5/11/2026
LITE,5/11/2026
BE,5/11/2026
WDC,5/11/2026
STX,5/11/2026
MU,5/11/2026
CIEN,5/11/2026
FIX,5/11/2026
TER,5/11/2026
AU,5/11/2026
VRT,5/11/2026
LRCX,5/11/2026
FN,5/11/2026
SQM,5/11/2026
MRVL,5/11/2026
AMD,5/11/2026
NBIS,5/11/2026
ARM,5/11/2026
CRDO,5/11/2026
RGLD,5/11/2026
ALAB,5/11/2026
CRWV,5/11/2026
FITB,5/11/2026
AFRM,5/11/2026
CRWD,5/11/2026
AVGO,5/11/2026
ORCL,5/11/2026
SNPS,5/11/2026
NVDA,5/11/2026
