Ticker,Date
SNDK,5/21/2026
RKLB,5/21/2026
BE,5/21/2026
LITE,5/21/2026
WDC,5/21/2026
STX,5/21/2026
MU,5/21/2026
CIEN,5/21/2026
FIX,5/21/2026
TER,5/21/2026
LRCX,5/21/2026
VRT,5/21/2026
AU,5/21/2026
FN,5/21/2026
MRVL,5/21/2026
SQM,5/21/2026
ARM,5/21/2026
ALAB,5/21/2026
NBIS,5/21/2026
AMD,5/21/2026
CRDO,5/21/2026
CRWD,5/21/2026
RGLD,5/21/2026
FITB,5/21/2026
AFRM,5/21/2026
CRWV,5/21/2026
AVGO,5/21/2026
NVDA,5/21/2026
ORCL,5/21/2026
SNPS,5/21/2026
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
