Ticker,Date
ETR,5/21/2026
RPRX,5/21/2026
BNY,5/21/2026
NI,5/21/2026
CSX,5/21/2026
JNJ,5/21/2026
EVRG,5/21/2026
CNP,5/21/2026
ATO,5/21/2026
XEL,5/21/2026
TRV,5/21/2026
XOM,5/21/2026
L,5/21/2026
LNT,5/21/2026
HLT,5/21/2026
AEP,5/21/2026
NSC,5/21/2026
WMT,5/21/2026
AME,5/21/2026
TSN,5/21/2026
CVX,5/21/2026
MO,5/21/2026
KMI,5/21/2026
HIG,5/21/2026
LIN,5/21/2026
KO,5/21/2026
GWW,5/21/2026
CB,5/21/2026
D,5/21/2026
EXC,5/21/2026
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
