Ticker,Date,Weight
DELL,8/3/2026,1.39%
SNDK,8/3/2026,0.74%
FTNT,8/3/2026,2.48%
RVMD,8/3/2026,2.61%
MPC,8/3/2026,3.46%
MRVL,8/3/2026,1.06%
DDOG,8/3/2026,2.21%
MU,8/3/2026,1.04%
SNX,8/3/2026,2.82%
HPE,8/3/2026,1.79%
STX,8/3/2026,1.12%
RPRX,8/3/2026,4.46%
INTC,8/3/2026,1.15%
AMD,8/3/2026,1.36%
PANW,8/3/2026,2.39%
WDC,8/3/2026,1.07%
CSCO,8/3/2026,3.21%
VLO,8/3/2026,2.90%
CRS,8/3/2026,2.14%
NTAP,8/3/2026,2.66%
TRGP,8/3/2026,3.49%
FLEX,8/3/2026,1.33%
CSX,8/3/2026,4.59%
ROIV,8/3/2026,2.96%
ATI,8/3/2026,2.37%
STT,8/3/2026,3.96%
CRWD,8/3/2026,2.24%
FFIV,8/3/2026,2.71%
NUE,8/3/2026,3.38%
CVS,8/3/2026,4.25%
HUM,8/3/2026,2.48%
KEYS,8/3/2026,2.38%
CNC,8/3/2026,2.51%
VIK,8/3/2026,3.43%
CASY,8/3/2026,3.17%
AMAT,8/3/2026,1.33%
PSX,8/3/2026,3.42%
NBIS,8/3/2026,0.86%
BNY,8/3/2026,4.62%
STLD,8/3/2026,2.46%
DELL,8/6/2026,1.34%
RVMD,8/6/2026,2.66%
FTNT,8/6/2026,2.37%
SNDK,8/6/2026,0.68%
MRVL,8/6/2026,1.09%
MU,8/6/2026,1.07%
HPE,8/6/2026,1.77%
SNX,8/6/2026,2.78%
PANW,8/6/2026,2.35%
INTC,8/6/2026,1.21%
MPC,8/6/2026,3.10%
STX,8/6/2026,1.11%
AMD,8/6/2026,1.28%
RPRX,8/6/2026,4.05%
CRS,8/6/2026,2.22%
CSCO,8/6/2026,3.08%
VLO,8/6/2026,2.74%
STT,8/6/2026,4.19%
NTAP,8/6/2026,2.54%
CSX,8/6/2026,4.64%
FLEX,8/6/2026,1.31%
DDOG,8/6/2026,1.57%
TRGP,8/6/2026,3.49%
CRWD,8/6/2026,2.19%
FFIV,8/6/2026,2.80%
HUM,8/6/2026,2.44%
ATI,8/6/2026,2.39%
NUE,8/6/2026,3.40%
ROIV,8/6/2026,2.84%
VIK,8/6/2026,3.48%
WDC,8/6/2026,0.86%
KEYS,8/6/2026,2.42%
BNY,8/6/2026,4.82%
CNC,8/6/2026,2.44%
WST,8/6/2026,3.66%
AMAT,8/6/2026,1.35%
NBIS,8/6/2026,0.85%
CASY,8/6/2026,2.88%
TGT,8/6/2026,3.77%
STLD,8/6/2026,3.03%
PSX,8/6/2026,1.74%
DELL,8/11/2026,1.34%
RVMD,8/11/2026,2.78%
FTNT,8/11/2026,2.41%
PANW,8/11/2026,2.52%
SNDK,8/11/2026,0.75%
HPE,8/11/2026,1.85%
MRVL,8/11/2026,1.11%
MPC,8/11/2026,3.13%
MU,8/11/2026,1.11%
INTC,8/11/2026,1.24%
SNX,8/11/2026,2.77%
AMD,8/11/2026,1.36%
STX,8/11/2026,1.11%
CRWD,8/11/2026,2.36%
RPRX,8/11/2026,4.26%
NTAP,8/11/2026,2.55%
VLO,8/11/2026,2.87%
CSCO,8/11/2026,3.15%
HUM,8/11/2026,2.52%
STT,8/11/2026,4.21%
FLEX,8/11/2026,1.38%
CSX,8/11/2026,4.75%
DDOG,8/11/2026,1.54%
CRS,8/11/2026,2.03%
FFIV,8/11/2026,2.78%
BNY,8/11/2026,5.07%
NUE,8/11/2026,3.51%
ROIV,8/11/2026,2.83%
ATI,8/11/2026,2.38%
TRGP,8/11/2026,3.45%
WST,8/11/2026,3.82%
KEYS,8/11/2026,2.55%
VIK,8/11/2026,3.24%
WDC,8/11/2026,0.88%
CNC,8/11/2026,2.41%
OKTA,8/11/2026,2.21%
TWLO,8/11/2026,2.06%
AMAT,8/11/2026,1.41%
PSX,8/11/2026,3.28%
UNH,8/11/2026,3.02%
DELL,8/13/2026,1.50%
RVMD,8/13/2026,2.88%
FTNT,8/13/2026,2.50%
PANW,8/13/2026,2.62%
SNDK,8/13/2026,0.90%
HPE,8/13/2026,1.95%
MRVL,8/13/2026,1.23%
MU,8/13/2026,1.26%
MPC,8/13/2026,3.23%
AMD,8/13/2026,1.48%
INTC,8/13/2026,1.37%
SNX,8/13/2026,2.92%
CRWD,8/13/2026,2.46%
STX,8/13/2026,1.24%
NTAP,8/13/2026,2.71%
VLO,8/13/2026,3.01%
STT,8/13/2026,4.44%
HUM,8/13/2026,2.57%
RPRX,8/13/2026,4.27%
FLEX,8/13/2026,1.48%
CSX,8/13/2026,5.01%
DDOG,8/13/2026,1.57%
FFIV,8/13/2026,2.88%
BNY,8/13/2026,5.18%
NUE,8/13/2026,3.67%
ROIV,8/13/2026,2.96%
WST,8/13/2026,3.87%
CRS,8/13/2026,2.05%
KEYS,8/13/2026,2.71%
TRGP,8/13/2026,3.63%
WDC,8/13/2026,1.00%
ATI,8/13/2026,2.37%
OKTA,8/13/2026,2.25%
VIK,8/13/2026,3.37%
CSCO,8/13/2026,2.63%
TWLO,8/13/2026,2.02%
NBIS,8/13/2026,0.98%
AMAT,8/13/2026,1.56%
CNC,8/13/2026,2.48%
PSX,8/13/2026,1.79%
DELL,8/20/2026,1.38%
RVMD,8/20/2026,2.89%
PANW,8/20/2026,2.39%
FTNT,8/20/2026,2.43%
MPC,8/20/2026,3.51%
MRVL,8/20/2026,1.27%
HPE,8/20/2026,1.76%
HUM,8/20/2026,2.71%
AMD,8/20/2026,1.51%
VLO,8/20/2026,3.31%
SNDK,8/20/2026,0.94%
MU,8/20/2026,1.32%
NTAP,8/20/2026,2.60%
SNX,8/20/2026,2.98%
CRWD,8/20/2026,2.14%
STT,8/20/2026,4.40%
RPRX,8/20/2026,4.54%
DDOG,8/20/2026,1.58%
WST,8/20/2026,4.20%
INTC,8/20/2026,1.25%
BNY,8/20/2026,5.27%
CSX,8/20/2026,5.21%
STX,8/20/2026,1.17%
PSX,8/20/2026,3.72%
ROIV,8/20/2026,3.08%
CSCO,8/20/2026,2.88%
FLEX,8/20/2026,1.37%
FFIV,8/20/2026,2.70%
UNH,8/20/2026,3.83%
OKTA,8/20/2026,2.00%
CNC,8/20/2026,2.56%
TWLO,8/20/2026,1.78%
TRGP,8/20/2026,3.60%
CRS,8/20/2026,2.00%
ATI,8/20/2026,2.34%
SNOW,8/20/2026,2.48%
NTRS,8/20/2026,4.73%
ILMN,8/20/2026,0.17%
DELL,8/27/2026,1.62%
HPE,8/27/2026,1.98%
FTNT,8/27/2026,2.64%
PANW,8/27/2026,2.30%
RVMD,8/27/2026,2.80%
HUM,8/27/2026,2.92%
MRVL,8/27/2026,1.37%
MPC,8/27/2026,3.42%
AMD,8/27/2026,1.70%
NTAP,8/27/2026,2.63%
VLO,8/27/2026,3.28%
STT,8/27/2026,4.53%
MU,8/27/2026,1.42%
SNX,8/27/2026,3.19%
CRWD,8/27/2026,2.10%
DDOG,8/27/2026,1.72%
WST,8/27/2026,4.26%
SNDK,8/27/2026,0.98%
RPRX,8/27/2026,4.64%
BNY,8/27/2026,5.24%
TWLO,8/27/2026,2.05%
INTC,8/27/2026,1.43%
STX,8/27/2026,1.26%
CSX,8/27/2026,5.37%
CSCO,8/27/2026,3.26%
PSX,8/27/2026,3.58%
UNH,8/27/2026,4.07%
FFIV,8/27/2026,3.04%
CNC,8/27/2026,2.84%
SNOW,8/27/2026,2.47%
FLEX,8/27/2026,1.58%
OKTA,8/27/2026,2.00%
ROIV,8/27/2026,3.31%
ILMN,8/27/2026,2.72%
MET,8/27/2026,5.41%
NTRS,8/27/2026,0.87%
