Ticker,Date,Weight
SNDK,7/30/2026,0.74%
DELL,7/30/2026,1.39%
MRVL,7/30/2026,1.06%
MU,7/30/2026,1.04%
STX,7/30/2026,1.12%
WDC,7/30/2026,1.07%
INTC,7/30/2026,1.15%
NBIS,7/30/2026,0.86%
AMD,7/30/2026,1.36%
ALAB,7/30/2026,0.96%
STRL,7/30/2026,0.87%
FLEX,7/30/2026,1.33%
LITE,7/30/2026,1.06%
HPE,7/30/2026,1.79%
BE,7/30/2026,0.79%
TSEM,7/30/2026,0.93%
AMAT,7/30/2026,1.33%
FTNT,7/30/2026,2.48%
DDOG,7/30/2026,2.21%
GLW,7/30/2026,1.03%
RVMD,7/30/2026,2.61%
MKSI,7/30/2026,1.27%
CIEN,7/30/2026,1.26%
PANW,7/30/2026,2.39%
CRDO,7/30/2026,1.01%
CRS,7/30/2026,2.14%
VRT,7/30/2026,1.29%
GFS,7/30/2026,1.26%
FIX,7/30/2026,1.53%
COHR,7/30/2026,1.03%
LSCC,7/30/2026,1.52%
LRCX,7/30/2026,1.21%
TER,7/30/2026,1.22%
SNX,7/30/2026,2.82%
ON,7/30/2026,1.28%
KLAC,7/30/2026,1.26%
MRNA,7/30/2026,1.43%
CRWD,7/30/2026,2.24%
MTSI,7/30/2026,1.30%
Q,7/30/2026,1.63%
MPC,7/30/2026,3.46%
ATI,7/30/2026,2.37%
NTAP,7/30/2026,2.66%
VG,7/30/2026,1.70%
VLO,7/30/2026,2.90%
KEYS,7/30/2026,2.38%
HUM,7/30/2026,2.48%
TWLO,7/30/2026,2.02%
MTZ,7/30/2026,1.18%
TXN,7/30/2026,2.14%
CNC,7/30/2026,2.51%
GEV,7/30/2026,1.67%
FFIV,7/30/2026,2.71%
OKTA,7/30/2026,2.09%
CSCO,7/30/2026,3.21%
NVT,7/30/2026,1.79%
PWR,7/30/2026,2.19%
ROIV,7/30/2026,2.96%
CAT,7/30/2026,1.32%
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
