Ticker,Date,Weight
SNDK,08-03-26,0.74%
DELL,08-03-26,1.39%
MRVL,08-03-26,1.06%
MU,08-03-26,1.04%
STX,08-03-26,1.12%
WDC,08-03-26,1.07%
INTC,08-03-26,1.15%
NBIS,08-03-26,0.86%
AMD,08-03-26,1.36%
ALAB,08-03-26,0.96%
STRL,08-03-26,0.87%
FLEX,08-03-26,1.33%
LITE,08-03-26,1.06%
HPE,08-03-26,1.79%
BE,08-03-26,0.79%
TSEM,08-03-26,0.93%
AMAT,08-03-26,1.33%
FTNT,08-03-26,2.48%
DDOG,08-03-26,2.21%
GLW,08-03-26,1.03%
RVMD,08-03-26,2.61%
MKSI,08-03-26,1.27%
CIEN,08-03-26,1.26%
PANW,08-03-26,2.39%
CRDO,08-03-26,1.01%
CRS,08-03-26,2.14%
VRT,08-03-26,1.29%
GFS,08-03-26,1.26%
FIX,08-03-26,1.53%
COHR,08-03-26,1.03%
LSCC,08-03-26,1.52%
LRCX,08-03-26,1.21%
TER,08-03-26,1.22%
SNX,08-03-26,2.82%
ON,08-03-26,1.28%
KLAC,08-03-26,1.26%
MRNA,08-03-26,1.43%
CRWD,08-03-26,2.24%
MTSI,08-03-26,1.30%
Q,08-03-26,1.63%
MPC,08-03-26,3.46%
ATI,08-03-26,2.37%
NTAP,08-03-26,2.66%
VG,08-03-26,1.70%
VLO,08-03-26,2.90%
KEYS,08-03-26,2.38%
HUM,08-03-26,2.48%
TWLO,08-03-26,2.02%
MTZ,08-03-26,1.18%
TXN,08-03-26,2.14%
CNC,08-03-26,2.51%
GEV,08-03-26,1.67%
FFIV,08-03-26,2.71%
OKTA,08-03-26,2.09%
CSCO,08-03-26,3.21%
NVT,08-03-26,1.79%
PWR,08-03-26,2.19%
ROIV,08-03-26,2.96%
CAT,08-03-26,1.31%
SNDK,08-06-26,0.68%
DELL,08-06-26,1.34%
MRVL,08-06-26,1.09%
MU,08-06-26,1.07%
STX,08-06-26,1.11%
WDC,08-06-26,0.86%
INTC,08-06-26,1.21%
NBIS,08-06-26,0.85%
AMD,08-06-26,1.28%
ALAB,08-06-26,0.90%
FLEX,08-06-26,1.31%
STRL,08-06-26,0.94%
HPE,08-06-26,1.77%
LITE,08-06-26,1.11%
BE,08-06-26,0.85%
FTNT,08-06-26,2.37%
DDOG,08-06-26,1.57%
TSEM,08-06-26,0.93%
AMAT,08-06-26,1.35%
RVMD,08-06-26,2.66%
GLW,08-06-26,1.10%
PANW,08-06-26,2.35%
MKSI,08-06-26,1.21%
CRDO,08-06-26,1.01%
CIEN,08-06-26,1.29%
CRS,08-06-26,2.22%
VRT,08-06-26,1.37%
SNX,08-06-26,2.78%
COHR,08-06-26,1.08%
FIX,08-06-26,1.58%
CRWD,08-06-26,2.19%
GFS,08-06-26,1.23%
LSCC,08-06-26,1.40%
LRCX,08-06-26,1.22%
TER,08-06-26,1.21%
KLAC,08-06-26,1.30%
ON,08-06-26,1.28%
MRNA,08-06-26,1.40%
MPC,08-06-26,3.10%
NTAP,08-06-26,2.54%
ATI,08-06-26,2.39%
HUM,08-06-26,2.44%
Q,08-06-26,1.64%
MTSI,08-06-26,1.37%
VLO,08-06-26,2.74%
TWLO,08-06-26,1.96%
KEYS,08-06-26,2.42%
VG,08-06-26,1.71%
CNC,08-06-26,2.44%
OKTA,08-06-26,2.07%
FFIV,08-06-26,2.80%
TXN,08-06-26,2.19%
GEV,08-06-26,1.77%
CSCO,08-06-26,3.08%
MTZ,08-06-26,1.21%
ROIV,08-06-26,2.84%
NVT,08-06-26,1.84%
PWR,08-06-26,2.22%
CAT,08-06-26,2.08%
JBL,08-06-26,0.68%
SNDK,08-11-26,0.75%
DELL,08-11-26,1.34%
MRVL,08-11-26,1.11%
MU,08-11-26,1.11%
STX,08-11-26,1.11%
INTC,08-11-26,1.24%
WDC,08-11-26,0.88%
NBIS,08-11-26,0.81%
AMD,08-11-26,1.36%
ALAB,08-11-26,0.89%
HPE,08-11-26,1.85%
FLEX,08-11-26,1.38%
STRL,08-11-26,0.99%
DDOG,08-11-26,1.54%
FTNT,08-11-26,2.41%
TSEM,08-11-26,1.06%
LITE,08-11-26,1.04%
BE,08-11-26,0.80%
RVMD,08-11-26,2.78%
AMAT,08-11-26,1.41%
PANW,08-11-26,2.52%
CRDO,08-11-26,1.09%
GLW,08-11-26,1.16%
CRWD,08-11-26,2.36%
CRS,08-11-26,2.03%
MKSI,08-11-26,1.23%
CIEN,08-11-26,1.27%
SNX,08-11-26,2.77%
COHR,08-11-26,0.98%
NTAP,08-11-26,2.55%
HUM,08-11-26,2.52%
FIX,08-11-26,1.61%
LSCC,08-11-26,1.44%
VRT,08-11-26,1.44%
TWLO,08-11-26,2.06%
