Ticker,Date,Weight
NVDA,8/3/2026,4.00%
AAPL,8/3/2026,4.00%
MSFT,8/3/2026,4.00%
AMZN,8/3/2026,4.00%
AVGO,8/3/2026,4.00%
GOOG,8/3/2026,4.00%
LLY,8/3/2026,4.00%
MU,8/3/2026,4.00%
JPM,8/3/2026,4.00%
AMD,8/3/2026,4.00%
XOM,8/3/2026,4.00%
JNJ,8/3/2026,4.00%
V,8/3/2026,4.00%
INTC,8/3/2026,4.00%
MA,8/3/2026,4.00%
CSCO,8/3/2026,4.00%
BAC,8/3/2026,4.00%
ABBV,8/3/2026,4.00%
AMAT,8/3/2026,4.00%
COST,8/3/2026,4.00%
PLTR,8/3/2026,4.00%
CAT,8/3/2026,4.00%
LRCX,8/3/2026,4.00%
GE,8/3/2026,4.00%
KO,8/3/2026,4.00%
,,
,,
,,
,,
,,
