Ticker,Date,Weight
JAZZ,8/3/2026,3.34%
RPRX,8/3/2026,3.34%
TEAM,8/3/2026,3.34%
CNC,8/3/2026,3.34%
NTAP,8/3/2026,3.34%
MPC,8/3/2026,3.34%
THC,8/3/2026,3.34%
PSX,8/3/2026,3.34%
GEN,8/3/2026,3.34%
WDAY,8/3/2026,3.34%
EXPE,8/3/2026,3.33%
VEEV,8/3/2026,3.33%
ADP,8/3/2026,3.33%
ABNB,8/3/2026,3.33%
PAYX,8/3/2026,3.33%
BKNG,8/3/2026,3.33%
LDOS,8/3/2026,3.33%
NBIX,8/3/2026,3.33%
CAH,8/3/2026,3.33%
ACN,8/3/2026,3.33%
INCY,8/3/2026,3.33%
NEM,8/3/2026,3.33%
ROP,8/3/2026,3.33%
INTU,8/3/2026,3.33%
ADBE,8/3/2026,3.33%
CRM,8/3/2026,3.33%
ZM,8/3/2026,3.33%
BR,8/3/2026,3.33%
MRK,8/3/2026,3.33%
OMC,8/3/2026,3.33%
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
