Ticker,Date,Weight
ATEX,7/6/2026,1.67%
MU,7/6/2026,1.19%
TNGX,7/6/2026,1.41%
DELL,7/6/2026,1.59%
COHU,7/6/2026,1.18%
KLIC,7/6/2026,1.36%
SYRE,7/6/2026,1.83%
DFTX,7/6/2026,1.64%
AMAT,7/6/2026,1.44%
MKSI,7/6/2026,1.48%
ELVN,7/6/2026,1.82%
NWPX,7/6/2026,2.15%
PDFS,7/6/2026,1.26%
MTRN,7/6/2026,2.06%
EVC,7/6/2026,1.55%
BHE,7/6/2026,1.86%
LRCX,7/6/2026,1.36%
ORKA,7/6/2026,1.67%
TXG,7/6/2026,1.75%
AMD,7/6/2026,1.61%
LQDA,7/6/2026,1.93%
LINC,7/6/2026,2.23%
MYRG,7/6/2026,1.71%
ATEN,7/6/2026,2.75%
RLAY,7/6/2026,1.67%
VSTS,7/6/2026,2.57%
FIX,7/6/2026,1.65%
KLAC,7/6/2026,1.29%
MTSI,7/6/2026,1.35%
ARW,7/6/2026,2.65%
BAND,7/6/2026,1.46%
KGS,7/6/2026,2.32%
TH,7/6/2026,2.26%
ARCB,7/6/2026,2.38%
LSCC,7/6/2026,1.56%
DNTH,7/6/2026,1.78%
ADEA,7/6/2026,1.45%
DCO,7/6/2026,2.23%
RVMD,7/6/2026,2.74%
VRT,7/6/2026,0.0154
AVT,7/6/2026,0.028
BTSG,7/6/2026,0.0339
GHM,7/6/2026,0.0171
MRNA,7/6/2026,0.0146
ANAB,7/6/2026,0.0177
CRS,7/6/2026,0.0258
LFUS,7/6/2026,0.0209
RXO,7/6/2026,0.0201
ONTO,7/6/2026,0.0127
FLEX,7/6/2026,0.0139
VBIL,7/6/2026,0.0813
